Person_Organization,Title,Quote_Description,Date,Source_Type,Source_Name,Direct_Link,Platform,Hype_Value,Tier,Notes
Charles Lamanna,Microsoft VP,"Think of agents as the apps of the AI era... agents will begin to transform every business process",12/5/2024,Blog Post,Microsoft News,https://news.microsoft.com/,Microsoft,40,4,Platform perspective
Jared Spataro,Microsoft AI at Work,"Agents are the new apps for an AI-powered world. Every organization will have a constellation of agents",2025,Keynote,Microsoft Ignite,https://www.microsoft.com/insidetrack/blog/ai-powered-agents-in-action-how-were-embracing-this-new-agentic-moment-at-microsoft/,Microsoft,40,4,Enterprise vision
Justin Boitano,NVIDIA VP,"The next wave in the evolution of generative AI... able to tackle complex, multi‑step problems",January 2025,Conference,CES 2025,https://www.inkl.com/news/nvidia-is-jumping-on-the-agentic-ai-bandwagon-with-new-blueprints-to-simplify-work,Inkl,20,5,Product announcement
Ahmad Al-Dahle,Meta VP,"Agentic AI is the next frontier of AI development... requires full-stack optimization",2025,Blog Post,NVIDIA Blog,https://blogs.nvidia.com/blog/nemotron-model-families/,NVIDIA,40,4,Technical perspective
Philipp Herzig,SAP Chief AI Officer,"Unlock a whole new level of enterprise productivity beyond today's generative AI scenarios",2025,Blog Post,NVIDIA Blog,https://blogs.nvidia.com/blog/nemotron-model-families/,NVIDIA,20,5,Enterprise productivity focus
Jeremy Barnes,ServiceNow VP,"AI agents make it possible for organizations to achieve more with less effort, setting new standards for business transformation",2025,Blog Post,NVIDIA Blog,https://blogs.nvidia.com/blog/nemotron-model-families/,NVIDIA,20,5,Business transformation
Jorge Amar,McKinsey Senior Partner,"Think about your org chart. Now imagine it features both... humans... and AI agents. That's not science fiction; it's happening",6/2/2025,Article,McKinsey Talks Talent,https://www.mckinsey.com/,McKinsey,20,5,Organizational impact
James Brundage,EY Global Tech Leader,"Half of the respondents say that more than 50% of AI deployment will be autonomous in their company in the next 24 months",5/13/2025,Survey Report,EY Technology Pulse Poll,https://www.ey.com/,EY,20,5,Survey results
Wesley ter Haar,Monks Co-founder,"It's written by AI agents. It's mood-boarded by AI agents. The director of photography is an agent",3/24/2025,Article,Digiday,https://digiday.com/,Digiday,20,5,Creative industry perspective
Arvind Krishna,IBM CEO,"In the long run, 'productivity is everything' and there is an 'insane need to go fast'. That is where agents come into play",June 2025,Conference,IBM Think 2025,https://timesofindia.indiatimes.com/,Times of India,60,3,Event coverage
Aaron Levie,Box CEO,"Seeing a shift of AI moving from just being about Assistants you chat with to Agents that go out and execute work for you",3/19/2025,Social Media,X/Twitter,Not available,X/Twitter,40,4,Industry observation
Karl Mehta,Tech Influencer,"The agentic AI market explodes from $5.1B to $69B by 2032. That's 13x growth in 7 years",8/23/2025,Social Media,X/Twitter,https://t.co/eEXTR741Zq,X/Twitter,20,5,Market projection
Swami Sivasubramanian,AWS VP,Amazon Bedrock AgentCore announcement,2025,Video,AWS Keynote,Not specified,AWS Summit,20,5,1+ hour keynote
Dan Gottlieb,Gartner,"How to Rewrite the Future and Win With Agentic AI",2025,Video,Gartner Conference,Not specified,Gartner,20,5,Conference presentation
McKinsey,Official Account,"Agentic AI is here. But the real question isn't what to automate, it's which decisions to",7/3/2025,Social Media,X/Twitter,https://t.co/TzerjON53Q,X/Twitter,80,2,Strategic guidance
NVIDIA,Official Account,Next phase of AI computing,2025,Social Media,X/Twitter,https://x.com/nvidia/status/1932723231821017399,X/Twitter,60,3,Company positioning
Gartner,Research Firm,"Agentic AI as #1 strategic technology trend for 2025; 80% automation of customer service by 2029",2025,Research Report,Top Strategic Tech Trends,https://www.pagerduty.com/resources/insights/analyst-report/gartner-report-top-strategic-technology-trends-for-2025-agentic-ai/,Gartner,80,2,Industry analysis
McKinsey,Research Firm,$2.6-4.4 trillion annual GDP contribution by 2030,2025,Research Report,Various,Multiple sources,McKinsey,80,2,Economic impact projection
Deloitte,Research Firm,"25% of enterprises using GenAI will deploy AI agents by 2025, growing to 50% by 2027",2025,Research Report,Technology Predictions,https://www.deloitte.com/us/en/about/press-room/deloitte-technology-media-telecom-2025-predictions.html,Deloitte,60,3,Adoption timeline
BCG,Research Firm,"67% of C-level executives expect autonomous agents; 58% already integrated",2025,Survey,Executive Survey,https://www.vamsitalkstech.com/agentic-ai/bcg-survey-agentic-ai-reshaping-it-spending-priorities-in-2025-key-insights/,BCG,60,3,Executive sentiment
MarketsandMarkets,Research Firm,"$13.81 billion in 2025 to $140.80 billion by 2032 (39.3% CAGR)",2025,Market Report,Industry Analysis,https://www.marketsandmarkets.com/Market-Reports/agentic-ai-market-208190735.html,MarketsandMarkets,20,5,Market size projection
Precedence Research,Research Firm,"$5.25 billion in 2024 to $199.05 billion by 2034 (43.84% CAGR)",2025,Market Report,Industry Analysis,https://www.precedenceresearch.com/agentic-ai-market,Precedence Research,20,5,Market projection
IDC,Research Firm,Global agentic AI market to reach $51.8 billion by 2028,2025,Market Report,Industry Analysis,https://my.idc.com/getdoc.jsp?containerId=prUS53765225,IDC,40,4,Market forecast
